FlightNumber,PayloadMass,Orbit,LaunchSite,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,OrbitsLaunchingPadB0003,OrbitsLaunchingPadB0005,OrbitsLaunchingPadB0007,OrbitsLaunchingPadB1003,OrbitsLaunchingPadB1004,OrbitsLaunchingPadB1005,OrbitsLaunchingPadB1006,OrbitsLaunchingPadB1007,OrbitsLaunchingPadB1008,OrbitsLaunchingPadB1010,OrbitsLaunchingPadB1011,OrbitsLaunchingPadB1012,OrbitsLaunchingPadB1013,OrbitsLaunchingPadB1015,OrbitsLaunchingPadB1016,OrbitsLaunchingPadB1017,OrbitsLaunchingPadB1018,OrbitsLaunchingPadB1019,OrbitsLaunchingPadB1020,OrbitsLaunchingPadB1021,OrbitsLaunchingPadB1022,OrbitsLaunchingPadB1023,OrbitsLaunchingPadB1025,OrbitsLaunchingPadB1026,OrbitsLaunchingPadB1028,OrbitsLaunchingPadB1029,OrbitsLaunchingPadB1030,OrbitsLaunchingPadB1031,OrbitsLaunchingPadB1032,OrbitsLaunchingPadB1034,OrbitsLaunchingPadB1035,OrbitsLaunchingPadB1036,OrbitsLaunchingPadB1037,OrbitsLaunchingPadB1038,OrbitsLaunchingPadB1039,OrbitsLaunchingPadB1040,OrbitsLaunchingPadB1041,OrbitsLaunchingPadB1042,OrbitsLaunchingPadB1043,OrbitsLaunchingPadB1044,OrbitsLaunchingPadB1045,OrbitsLaunchingPadB1046,OrbitsLaunchingPadB1047,OrbitsLaunchingPadB1048,OrbitsLaunchingPadB1049,OrbitsLaunchingPadB1050,OrbitsLaunchingPadB1051,OrbitsLaunchingPadB1054,OrbitsLaunchingPadB1056,OrbitsLaunchingPadB1058,OrbitsLaunchingPadB1059,OrbitsLaunchingPadB1060,OrbitsLaunchingPadB1062,OrbitsLaunchingPadnan
1,6104.959411764706,LEO,CCAFS SLC 40,1,False,False,False,,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,525.0,LEO,CCAFS SLC 40,1,False,False,False,,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,677.0,ISS,CCAFS SLC 40,1,False,False,False,,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,500.0,PO,VAFB SLC 4E,1,False,False,False,,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3170.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3325.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2296.0,ISS,CCAFS SLC 40,1,False,False,True,,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1316.0,LEO,CCAFS SLC 40,1,False,False,True,,1.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4535.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,4428.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2216.0,ISS,CCAFS SLC 40,1,False,False,False,,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2395.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,570.0,ES-L1,CCAFS SLC 40,1,True,False,True,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1898.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4707.0,GTO,CCAFS SLC 40,1,False,False,False,,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2477.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2034.0,LEO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,553.0,PO,VAFB SLC 4E,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5271.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3136.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,4696.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3100.0,GTO,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2257.0,ISS,CCAFS SLC 40,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
